,Azimuth_Right,Azimuth_Left,AOM_Right,AOM_Left,Elevation_Right,Elevation_Left,Xaxis_Right,Xaxis_Left,Yaxis_Right,Yaxis_Left,Zaxis_Right,Zaxis_Left,Pupil_Diameter_Right,Pupil_Diameter_Left,mode_status
67.348,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
67.489,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
67.598,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
67.708,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
67.832,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
67.942,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
68.067,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
68.192,-21.384158514656463,-9.165898877318995,0.0,1.0,42.52641950948263,-22.371559758417977,0.2687,0.1473,0.6862,0.9129,-0.6759,0.3806,4.34,3.5,1.0
68.317,-25.84483510231408,-9.923435352981798,0.0,1.0,25.828814603439298,-17.446099827637603,0.3924,0.1644,0.8101,0.9397,-0.4357,0.2998,4.38,4.33,1.0
68.426,,-8.83413895055574,0.0,1.0,25.828814603439298,-18.07116791856161,0.3924,0.146,0.8101,0.9394,-0.4357,0.3102,4.41,4.33,1.0
68.551,-21.013490385978287,-0.24766534650802896,0.0,1.0,41.103022887142956,-28.46894297558803,0.2702,0.0038,0.7034,0.8791,-0.6574,0.4767,4.34,3.54,1.0
68.910,-29.816122515451525,-6.637825817834326,0.0,1.0,37.056450110592465,-26.223922606531577,0.3968,0.1037,0.6924,0.8911,-0.6026,0.4419,4.48,3.53,1.0
69.035,-22.856835687768694,-10.572160910112174,0.0,1.0,38.801505920199276,-28.131600159109592,0.3027,0.1618,0.7181,0.8669,-0.6266,0.4715,4.55,3.58,1.0
69.145,-33.07040569519182,-11.045506183265076,1.0,0.0,34.85352748314247,-29.401958078984602,0.4478,0.1669,0.6877,0.855,-0.5715,0.4909,4.58,3.62,1.0
69.270,-38.12032587663983,-11.606703465592815,1.0,0.0,32.23368629364938,-31.58024249702804,0.5222,0.1714,0.6655,0.8345,-0.5334,0.5237,4.61,3.59,1.0
69.379,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
69.520,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
69.629,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
69.785,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
69.894,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
70.035,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
70.160,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
70.301,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
70.441,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
70.566,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
70.691,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
70.847,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
70.988,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
71.097,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
71.222,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
71.363,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
71.488,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
71.597,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
71.707,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
71.832,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
71.972,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
72.097,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
72.222,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
72.347,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
72.456,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
72.597,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
72.738,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
72.863,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
73.003,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
73.128,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
73.284,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
73.394,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
73.534,-31.082449972477114,-7.320178701098683,0.0,1.0,34.118826947070474,-25.918550377311465,0.4274,0.1146,0.709,0.8921,-0.5609,0.4371,4.51,3.59,1.0
73.659,-33.989174916644465,-8.121989741281013,0.0,1.0,33.47668213856205,-25.98810930578175,0.4663,0.127,0.6916,0.8899,-0.5516,0.4382,4.53,3.56,1.0
74.487,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
74.628,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
74.753,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
74.862,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
74.987,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
75.096,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
75.253,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
75.362,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
75.503,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
75.612,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
75.753,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
75.877,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
76.018,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
76.127,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
76.268,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
76.393,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
76.518,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
76.627,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
76.752,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
76.893,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
77.033,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
77.158,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
77.330,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
77.455,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
77.596,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
77.721,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
77.830,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
